source_image	target_image	source_image_id	reported_size	architecture	status
swebench/swesmith.x86_64.mahmoud_1776_glom.fb3c4e76:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mahmoud_1776_glom.fb3c4e76:latest	5fe91c5d1431	4.71GB	linux/amd64	pending
swebench/swesmith.x86_64.markedjs_1776_marked.dbf29d91:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.markedjs_1776_marked.dbf29d91:latest	ec6069b718ef	2.41GB	linux/amd64	pending
swebench/swesmith.x86_64.marshmallow-code_1776_apispec.8b421526:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.marshmallow-code_1776_apispec.8b421526:latest	27694ac338f1	4.54GB	linux/amd64	pending
swebench/swesmith.x86_64.marshmallow-code_1776_marshmallow.9716fc62:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.marshmallow-code_1776_marshmallow.9716fc62:latest	f782501251f6	4.7GB	linux/amd64	pending
swebench/swesmith.x86_64.marshmallow-code_1776_webargs.dbde72fe:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.marshmallow-code_1776_webargs.dbde72fe:latest	cc1526fecf16	4.73GB	linux/amd64	pending
swebench/swesmith.x86_64.martinblech_1776_xmltodict.0952f382:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.martinblech_1776_xmltodict.0952f382:latest	90171f20311a	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.masterminds_1776_squirrel.1ded5784:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.masterminds_1776_squirrel.1ded5784:latest	8b7a7b2f6acd	1.4GB	linux/amd64	pending
swebench/swesmith.x86_64.matthewwithanm_1776_python-markdownify.6258f5c3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.matthewwithanm_1776_python-markdownify.6258f5c3:latest	6a76c993c525	4.49GB	linux/amd64	pending
swebench/swesmith.x86_64.mattn_1776_go-sqlite3.f76bae4b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mattn_1776_go-sqlite3.f76bae4b:latest	36773e98e9f7	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.maypok86_1776_otter.20ae57f9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.maypok86_1776_otter.20ae57f9:latest	dd7872e42aa8	1.6GB	linux/amd64	pending
swebench/swesmith.x86_64.mewwts_1776_addict.75284f95:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mewwts_1776_addict.75284f95:latest	f8650aba9f52	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.mgechev_1776_revive.03e81029:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mgechev_1776_revive.03e81029:latest	0964c58a56c1	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.mibk_1776_dupl.1bf052b6:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mibk_1776_dupl.1bf052b6:latest	860b6f482f51	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.mido_1776_mido.a0158ff9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mido_1776_mido.a0158ff9:latest	4d7bb41c0ffd	4.76GB	linux/amd64	pending
swebench/swesmith.x86_64.mimino666_1776_langdetect.a1598f1a:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mimino666_1776_langdetect.a1598f1a:latest	1e0b261aa07f	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.modin-project_1776_modin.8c7799fd:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.modin-project_1776_modin.8c7799fd:latest	7ffcac5edafb	7.6GB	linux/amd64	pending
swebench/swesmith.x86_64.mozilla_1776_bleach.73871d76:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mozilla_1776_bleach.73871d76:latest	1a833040c65e	4.98GB	linux/amd64	pending
swebench/swesmith.x86_64.mozillazg_1776_python-pinyin.e42dede5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mozillazg_1776_python-pinyin.e42dede5:latest	e3b5bf609616	4.98GB	linux/amd64	pending
swebench/swesmith.x86_64.msiemens_1776_tinydb.10644a0e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.msiemens_1776_tinydb.10644a0e:latest	f8447c4aa11d	4.89GB	linux/amd64	pending
swebench/swesmith.x86_64.muesli_1776_cache2go.518229cd:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.muesli_1776_cache2go.518229cd:latest	67ebc2602bb2	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.nalgeon_1776_redka.7c532df9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.nalgeon_1776_redka.7c532df9:latest	5c5d571156cc	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.nats-io_1776_nats-server.2ee2e24c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.nats-io_1776_nats-server.2ee2e24c:latest	e64300959eff	1.49GB	linux/amd64	pending
swebench/swesmith.x86_64.nikepan_1776_clickhouse-bulk.cdc261cb:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.nikepan_1776_clickhouse-bulk.cdc261cb:latest	86a99440ab36	1.58GB	linux/amd64	pending
swebench/swesmith.x86_64.oauthlib_1776_oauthlib.1fd52536:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.oauthlib_1776_oauthlib.1fd52536:latest	fb7e947b29f9	4.7GB	linux/amd64	pending
swebench/swesmith.x86_64.pallets_1776_click.fde47b4b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pallets_1776_click.fde47b4b:latest	a88a2ff43cfe	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.pallets_1776_jinja.ada0a9a6:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pallets_1776_jinja.ada0a9a6:latest	0416d3b73c08	4.92GB	linux/amd64	pending
swebench/swesmith.x86_64.pallets_1776_markupsafe.620c06c9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pallets_1776_markupsafe.620c06c9:latest	4df9b6e53271	4.91GB	linux/amd64	pending
swebench/swesmith.x86_64.pandas-dev_1776_pandas.95280573:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pandas-dev_1776_pandas.95280573:latest	d6b8867fd3cf	8.61GB	linux/amd64	pending
swebench/swesmith.x86_64.paramiko_1776_paramiko.23f92003:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.paramiko_1776_paramiko.23f92003:latest	3e5d63045a18	4.87GB	linux/amd64	pending
swebench/swesmith.x86_64.pdfminer_1776_pdfminer.six.1a8bd2f7:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pdfminer_1776_pdfminer.six.1a8bd2f7:latest	0a5ac4a2d298	5.11GB	linux/amd64	pending
swebench/swesmith.x86_64.peterbourgon_1776_diskv.25663860:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.peterbourgon_1776_diskv.25663860:latest	17e89187ed2f	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.peterh_1776_liner.58a15878:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.peterh_1776_liner.58a15878:latest	51ce9111adf8	1.27GB	linux/amd64	pending
swebench/swesmith.x86_64.pexpect_1776_ptyprocess.1067dbda:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pexpect_1776_ptyprocess.1067dbda:latest	2f61413ba9d5	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.plar_1776_go-adaptive-radix-tree.63c2eff3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.plar_1776_go-adaptive-radix-tree.63c2eff3:latest	941b5f0051c3	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.pndurette_1776_gtts.dbcda4f3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pndurette_1776_gtts.dbcda4f3:latest	fdb51e3da495	4.68GB	linux/amd64	pending
swebench/swesmith.x86_64.presmihaylov_1776_todocheck.f0fae9b5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.presmihaylov_1776_todocheck.f0fae9b5:latest	cbfdfd0d6bd2	1.29GB	linux/amd64	pending
swebench/swesmith.x86_64.prest_1776_prest.c54ddd30:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.prest_1776_prest.c54ddd30:latest	119d3cd21a35	1.43GB	linux/amd64	pending
swebench/swesmith.x86_64.prettytable_1776_prettytable.ca90b055:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.prettytable_1776_prettytable.ca90b055:latest	d2a54392e1cc	4.5GB	linux/amd64	pending
swebench/swesmith.x86_64.project-monai_1776_monai.a09c1f08:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.project-monai_1776_monai.a09c1f08:latest	ada19e0d27da	48.1GB	linux/amd64	pending
swebench/swesmith.x86_64.psampaz_1776_go-mod-outdated.bb79367d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.psampaz_1776_go-mod-outdated.bb79367d:latest	d47ec4ac4db3	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.pudo_1776_dataset.5c2dc8d3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pudo_1776_dataset.5c2dc8d3:latest	404e47d62196	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.pwaller_1776_pyfiglet.f8c5f35b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pwaller_1776_pyfiglet.f8c5f35b:latest	338aa7cd4494	4.5GB	linux/amd64	pending
swebench/swesmith.x86_64.pyasn1_1776_pyasn1.0f07d724:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pyasn1_1776_pyasn1.0f07d724:latest	b7ea2a674ccf	4.79GB	linux/amd64	pending
swebench/swesmith.x86_64.pyca_1776_pyopenssl.04766a49:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pyca_1776_pyopenssl.04766a49:latest	3974591087af	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.pycqa_1776_flake8.cf1542ce:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pycqa_1776_flake8.cf1542ce:latest	e50f1a96c54f	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.pydantic_1776_pydantic.acb0f10f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pydantic_1776_pydantic.acb0f10f:latest	ce89ce86b3cf	5.67GB	linux/amd64	pending
swebench/swesmith.x86_64.pydata_1776_patsy.a5d16484:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pydata_1776_patsy.a5d16484:latest	60bbd514959a	5.05GB	linux/amd64	pending
swebench/swesmith.x86_64.pydicom_1776_pydicom.7d361b3d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pydicom_1776_pydicom.7d361b3d:latest	a3bd8efc6c40	4.8GB	linux/amd64	pending
swebench/swesmith.x86_64.pygments_1776_pygments.27649ebb:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pygments_1776_pygments.27649ebb:latest	ba403c3f4f52	4.77GB	linux/amd64	pending
swebench/swesmith.x86_64.pylint-dev_1776_astroid.b114f6b5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pylint-dev_1776_astroid.b114f6b5:latest	c79266f57713	5.53GB	linux/amd64	pending
swebench/swesmith.x86_64.pyparsing_1776_pyparsing.533adf47:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pyparsing_1776_pyparsing.533adf47:latest	a95d3178aaa2	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.pytest-dev_1776_iniconfig.16793ead:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pytest-dev_1776_iniconfig.16793ead:latest	d737c0b8e456	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.python-hyper_1776_h11.bed0dd4a:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.python-hyper_1776_h11.bed0dd4a:latest	12c9cc5f0d74	4.68GB	linux/amd64	pending
swebench/swesmith.x86_64.python-jsonschema_1776_jsonschema.93e0caa5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.python-jsonschema_1776_jsonschema.93e0caa5:latest	6275e28f787e	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.python-openxml_1776_python-docx.0cf6d71f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.python-openxml_1776_python-docx.0cf6d71f:latest	70735926a41f	5.06GB	linux/amd64	pending
swebench/swesmith.x86_64.python-trio_1776_trio.cfbbe2c1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.python-trio_1776_trio.cfbbe2c1:latest	315b96ad716b	5.12GB	linux/amd64	pending
swebench/swesmith.x86_64.python_1776_mypy.e93f06ce:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.python_1776_mypy.e93f06ce:latest	2865c5492a06	4.93GB	linux/amd64	pending
swebench/swesmith.x86_64.pyupio_1776_safety.7654596b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pyupio_1776_safety.7654596b:latest	0f4897839505	4.77GB	linux/amd64	pending
swebench/swesmith.x86_64.pyutils_1776_line_profiler.a646bf0f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.pyutils_1776_line_profiler.a646bf0f:latest	cfb09ad1534d	4.94GB	linux/amd64	pending
swebench/swesmith.x86_64.qustavo_1776_dotsql.5d06b890:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.qustavo_1776_dotsql.5d06b890:latest	cf8dbace1700	1.27GB	linux/amd64	pending
swebench/swesmith.x86_64.r1chardj0n3s_1776_parse.30da9e4f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.r1chardj0n3s_1776_parse.30da9e4f:latest	17bde399ba19	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.raviqqe_1776_muffet.430e6937:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.raviqqe_1776_muffet.430e6937:latest	39be7cfc3801	1.55GB	linux/amd64	pending
swebench/swesmith.x86_64.roaringbitmap_1776_roaring.09c46a0a:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.roaringbitmap_1776_roaring.09c46a0a:latest	c49f05f20876	1.98GB	linux/amd64	pending
swebench/swesmith.x86_64.rosedblabs_1776_rosedb.4af513fe:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.rosedblabs_1776_rosedb.4af513fe:latest	a9d986def961	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.rsalmei_1776_alive-progress.35853799:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.rsalmei_1776_alive-progress.35853799:latest	44aa9ac482a7	5.09GB	linux/amd64	pending
swebench/swesmith.x86_64.rubik_1776_radon.54b88e58:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.rubik_1776_radon.54b88e58:latest	0937d55e3ebb	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.rustedpy_1776_result.0b855e1e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.rustedpy_1776_result.0b855e1e:latest	dde9bd55e218	4.86GB	linux/amd64	pending
swebench/swesmith.x86_64.scanny_1776_python-pptx.278b47b1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.scanny_1776_python-pptx.278b47b1:latest	743fb721779b	5.12GB	linux/amd64	pending
swebench/swesmith.x86_64.scrapy_1776_scrapy.35212ec5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.scrapy_1776_scrapy.35212ec5:latest	22ba568522f8	4.9GB	linux/amd64	pending
swebench/swesmith.x86_64.seatgeek_1776_thefuzz.8a05a3ee:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.seatgeek_1776_thefuzz.8a05a3ee:latest	5cad9021b3a0	4.72GB	linux/amd64	pending
swebench/swesmith.x86_64.seperman_1776_deepdiff.ed252022:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.seperman_1776_deepdiff.ed252022:latest	379d2d260edd	5.2GB	linux/amd64	pending
swebench/swesmith.x86_64.serde-rs_1776_json.cd55b5a0:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.serde-rs_1776_json.cd55b5a0:latest	a583a9ce4e2c	2.65GB	linux/amd64	pending
swebench/swesmith.x86_64.skeema_1776_skeema.defb0097:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.skeema_1776_skeema.defb0097:latest	a4b2e77a1a53	1.32GB	linux/amd64	pending
swebench/swesmith.x86_64.sloria_1776_environs.73c372df:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.sloria_1776_environs.73c372df:latest	3bdc0b1e58c4	4.6GB	linux/amd64	pending
swebench/swesmith.x86_64.spf13_1776_afero.f5375068:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.spf13_1776_afero.f5375068:latest	69cd21af377a	1.33GB	linux/amd64	pending
swebench/swesmith.x86_64.spf13_1776_cobra.6dec1ae2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.spf13_1776_cobra.6dec1ae2:latest	d479e5ecc84b	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.spf13_1776_pflag.1c62fb28:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.spf13_1776_pflag.1c62fb28:latest	53de62754a46	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.spulec_1776_freezegun.5f171db0:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.spulec_1776_freezegun.5f171db0:latest	00e8f92db23d	4.7GB	linux/amd64	pending
swebench/swesmith.x86_64.sqlfluff_1776_sqlfluff.50a1c4b6:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.sqlfluff_1776_sqlfluff.50a1c4b6:latest	88c5cac48e01	4.95GB	linux/amd64	pending
swebench/swesmith.x86_64.stanfordnlp_1776_dspy.651a4c71:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.stanfordnlp_1776_dspy.651a4c71:latest	d5f83b4fd3e4	6.74GB	linux/amd64	pending
swebench/swesmith.x86_64.stanfordnlp_1776_string2string.c4a72f59:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.stanfordnlp_1776_string2string.c4a72f59:latest	ec6d68c45459	20.3GB	linux/amd64	pending
swebench/swesmith.x86_64.sunpy_1776_sunpy.f8edfd5c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.sunpy_1776_sunpy.f8edfd5c:latest	a656ae5ccc1c	6.69GB	linux/amd64	pending
swebench/swesmith.x86_64.suor_1776_funcy.207a7810:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.suor_1776_funcy.207a7810:latest	cff3ac9dcd54	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.termcolor_1776_termcolor.3a42086f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.termcolor_1776_termcolor.3a42086f:latest	e72c69fe4f5a	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.theskumar_1776_python-dotenv.2b8635b7:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.theskumar_1776_python-dotenv.2b8635b7:latest	88ab2e25fa21	4.82GB	linux/amd64	pending
swebench/swesmith.x86_64.tidwall_1776_buntdb.3daff4e1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tidwall_1776_buntdb.3daff4e1:latest	18000af5e59b	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.tkrajina_1776_gpxpy.09fc46b3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tkrajina_1776_gpxpy.09fc46b3:latest	eaefeb7bb0dd	4.49GB	linux/amd64	pending
swebench/swesmith.x86_64.tobymao_1776_sqlglot.036601ba:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tobymao_1776_sqlglot.036601ba:latest	08bbf9a13106	5.39GB	linux/amd64	pending
swebench/swesmith.x86_64.tomarrell_1776_wrapcheck.486d5bbe:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tomarrell_1776_wrapcheck.486d5bbe:latest	35de7958e021	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.tornadoweb_1776_tornado.d5ac65c1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tornadoweb_1776_tornado.d5ac65c1:latest	6c145000a2bf	4.91GB	linux/amd64	pending
swebench/swesmith.x86_64.tox-dev_1776_pipdeptree.c31b6418:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tox-dev_1776_pipdeptree.c31b6418:latest	80e25256f4e7	4.79GB	linux/amd64	pending
swebench/swesmith.x86_64.tweepy_1776_tweepy.91a41c6e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tweepy_1776_tweepy.91a41c6e:latest	7aec60fb11d7	4.76GB	linux/amd64	pending
swebench/swesmith.x86_64.tylertreat_1776_boomfilters.db654574:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.tylertreat_1776_boomfilters.db654574:latest	3ebd13d2e0ae	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.un33k_1776_python-slugify.872b3750:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.un33k_1776_python-slugify.872b3750:latest	06e1a864eef1	4.56GB	linux/amd64	pending
swebench/swesmith.x86_64.vbauerster_1776_mpb.d30b5606:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.vbauerster_1776_mpb.d30b5606:latest	dbaa5ee227cb	1.31GB	linux/amd64	pending
swebench/swesmith.x86_64.vi3k6i5_1776_flashtext.b316c7e9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.vi3k6i5_1776_flashtext.b316c7e9:latest	a1a4995f6288	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.viccon_1776_sturdyc.97fc006b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.viccon_1776_sturdyc.97fc006b:latest	532fd9ed3f94	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.victoriametrics_1776_fastcache.b7ccf30b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.victoriametrics_1776_fastcache.b7ccf30b:latest	7a0a25991fa2	1.37GB	linux/amd64	pending
swebench/swesmith.x86_64.vingarcia_1776_ksql.dadb4199:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.vingarcia_1776_ksql.dadb4199:latest	f3772cdde63d	1.42GB	linux/amd64	pending
swebench/swesmith.x86_64.weaveworks_1776_grafanalib.5c3b17ed:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.weaveworks_1776_grafanalib.5c3b17ed:latest	a5cf1839d25a	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.workiva_1776_go-datastructures.18d77378:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.workiva_1776_go-datastructures.18d77378:latest	672a08027950	1.43GB	linux/amd64	pending
